iter	Passed	Remaining
462	772	896
463	774	894
464	775	892
465	776	889
466	777	887
467	779	885
468	780	883
469	781	881
470	783	879
471	784	877
472	785	875
473	786	873
474	788	871
475	789	868
476	790	866
477	792	864
478	793	862
479	794	861
480	796	859
481	798	858
482	800	857
483	802	855
484	804	854
485	806	853
486	809	852
487	810	850
488	812	848
489	813	847
490	815	845
491	816	843
492	818	841
493	819	839
494	820	837
495	821	835
496	823	833
497	824	831
498	825	828
499	826	826
500	828	824
501	829	822
502	830	820
503	832	818
504	833	816
505	834	814
506	835	812
507	837	810
508	838	808
509	839	807
510	841	805
511	842	803
512	844	801
513	845	799
514	846	797
515	847	795
516	849	793
517	850	791
518	851	789
519	852	787
520	854	785
521	855	783
522	855	780
523	857	778
524	858	776
525	859	774
526	860	772
527	862	770
528	863	768
529	864	766
530	865	764
531	867	762
532	868	761
533	869	759
534	871	757
535	872	755
536	873	753
537	874	751
538	875	749
539	877	747
540	878	745
541	879	743
542	880	741
543	882	739
544	883	737
545	885	735
546	886	734
547	887	732
548	888	730
549	889	728
550	891	726
551	892	724
552	893	722
553	894	720
554	896	718
555	897	716
556	898	714
557	900	712
558	901	711
559	902	709
560	903	707
561	905	705
562	906	703
563	907	701
564	908	699
565	910	698
566	911	696
567	913	694
568	914	692
569	915	690
570	916	688
571	918	686
572	919	685
573	920	683
574	921	681
575	923	679
576	924	677
577	925	675
578	926	673
579	928	672
580	929	670
581	930	668
582	932	666
583	933	664
584	934	663
585	935	661
586	937	659
587	938	657
588	940	656
589	942	654
590	943	652
591	944	651
592	945	649
593	947	647
594	948	645
595	949	643
596	950	641
597	952	640
598	953	638
599	954	636
600	955	634
601	957	632
602	958	630
603	959	629
604	960	627
605	962	625
606	963	623
607	965	622
608	966	620
609	967	618
610	969	617
611	970	615
612	971	613
613	973	611
614	974	610
615	976	608
616	977	606
617	978	605
618	980	603
619	981	601
620	983	600
621	984	598
622	985	596
623	987	594
624	988	593
625	989	591
626	991	589
627	992	588
628	994	586
629	995	584
630	997	583
631	998	581
632	999	579
633	1000	577
634	1001	575
635	1003	574
636	1004	572
637	1005	570
638	1006	568
639	1007	566
640	1008	564
641	1009	563
642	1010	561
643	1011	559
644	1012	557
645	1014	555
646	1015	553
647	1016	552
648	1017	550
649	1018	548
650	1019	546
651	1020	544
652	1021	542
653	1022	541
654	1023	539
655	1025	537
656	1026	535
657	1027	533
658	1028	532
659	1029	530
660	1030	528
661	1031	526
662	1032	524
663	1033	523
664	1035	521
665	1036	519
666	1037	517
667	1038	516
668	1039	514
669	1040	512
670	1041	510
671	1042	509
672	1043	507
673	1045	505
674	1046	503
675	1047	501
676	1048	500
677	1049	498
678	1050	496
679	1051	494
680	1052	493
681	1053	491
682	1054	489
683	1056	487
684	1057	486
685	1058	484
686	1059	482
687	1060	480
688	1061	479
689	1062	477
690	1063	475
691	1064	473
692	1065	472
693	1067	470
694	1068	468
695	1069	467
696	1070	465
697	1071	463
698	1072	461
699	1073	460
700	1075	458
701	1076	456
702	1077	455
703	1078	453
704	1079	451
705	1080	449
706	1081	448
707	1082	446
708	1083	444
709	1084	443
710	1086	441
711	1087	439
712	1088	438
713	1089	436
714	1090	434
715	1091	432
716	1092	431
717	1093	429
718	1094	427
719	1095	426
720	1097	424
721	1098	422
722	1099	421
723	1100	419
724	1101	417
725	1102	416
726	1103	414
727	1104	412
728	1106	411
729	1107	409
730	1108	407
731	1109	406
732	1110	404
733	1111	402
734	1112	401
735	1113	399
736	1115	398
737	1116	396
738	1117	394
739	1119	393
740	1120	391
741	1121	390
742	1123	388
743	1124	386
744	1125	385
745	1126	383
746	1127	381
747	1128	380
748	1129	378
749	1130	376
750	1132	375
751	1133	373
752	1134	372
753	1135	370
754	1136	368
755	1137	367
756	1138	365
757	1139	363
758	1140	362
759	1142	360
760	1143	359
761	1144	357
762	1145	355
763	1146	354
764	1147	352
765	1148	350
766	1149	349
767	1150	347
768	1151	346
769	1153	344
770	1154	342
771	1155	341
772	1156	339
773	1157	337
774	1158	336
775	1159	334
776	1160	333
777	1161	331
778	1162	329
779	1164	328
780	1165	326
781	1166	325
782	1167	323
783	1168	321
784	1171	320
785	1173	319
786	1174	317
787	1176	316
788	1177	314
789	1179	313
790	1180	311
791	1182	310
792	1184	309
793	1185	307
794	1187	306
795	1188	304
796	1190	303
797	1191	301
798	1193	300
799	1194	298
800	1195	296
801	1196	295
802	1197	293
803	1198	292
804	1199	290
805	1200	289
806	1201	287
807	1203	285
808	1204	284
809	1205	282
810	1206	281
811	1207	279
812	1208	278
813	1209	276
814	1210	274
815	1212	273
816	1213	271
817	1214	270
818	1215	268
819	1216	266
820	1217	265
821	1218	263
822	1219	262
823	1220	260
824	1221	259
825	1222	257
826	1223	256
827	1224	254
828	1226	252
829	1227	251
830	1228	249
831	1229	248
832	1230	246
833	1231	245
834	1232	243
835	1233	242
836	1234	240
837	1235	238
838	1236	237
839	1237	235
840	1238	234
841	1240	232
842	1241	231
843	1242	229
844	1243	228
845	1244	226
846	1245	224
847	1246	223
848	1247	221
849	1248	220
850	1249	218
851	1251	217
852	1252	215
853	1253	214
854	1254	212
855	1255	211
856	1256	209
857	1257	208
858	1258	206
859	1259	205
860	1260	203
861	1262	202
862	1263	200
863	1264	199
864	1265	197
865	1266	195
866	1267	194
867	1268	192
868	1269	191
869	1270	189
870	1272	188
871	1273	186
872	1274	185
873	1275	183
874	1276	182
875	1277	180
876	1278	179
877	1279	177
878	1280	176
879	1282	174
880	1283	173
881	1284	171
882	1285	170
883	1286	168
884	1287	167
885	1288	165
886	1289	164
887	1291	162
888	1292	161
889	1293	159
890	1294	158
891	1295	156
892	1296	155
893	1297	153
894	1298	152
895	1299	150
896	1300	149
897	1302	147
898	1303	146
899	1304	144
900	1305	143
901	1306	141
902	1307	140
903	1308	138
904	1309	137
905	1310	135
906	1311	134
907	1312	133
908	1314	131
909	1315	130
910	1316	128
911	1317	127
912	1319	125
913	1320	124
914	1321	122
915	1322	121
916	1323	119
917	1324	118
918	1325	116
919	1326	115
920	1327	113
921	1328	112
922	1329	110
923	1331	109
924	1332	108
925	1333	106
926	1334	105
927	1335	103
928	1336	102
929	1337	100
930	1338	99
931	1339	97
932	1340	96
933	1341	94
934	1343	93
935	1344	91
936	1345	90
937	1347	89
938	1348	87
939	1349	86
940	1350	84
941	1351	83
942	1352	81
943	1353	80
944	1355	78
945	1356	77
946	1357	75
947	1358	74
948	1359	73
949	1360	71
950	1362	70
951	1363	68
952	1364	67
953	1365	65
954	1366	64
955	1368	62
956	1369	61
957	1370	60
958	1371	58
959	1372	57
960	1373	55
961	1375	54
962	1376	52
963	1377	51
964	1378	49
965	1379	48
966	1380	47
967	1381	45
968	1382	44
969	1383	42
970	1384	41
971	1385	39
972	1386	38
973	1388	37
974	1389	35
975	1390	34
976	1391	32
977	1392	31
978	1393	29
979	1394	28
980	1395	27
981	1396	25
982	1397	24
983	1398	22
984	1399	21
985	1400	19
986	1402	18
987	1403	17
988	1404	15
989	1405	14
990	1406	12
991	1407	11
992	1408	9
993	1409	8
994	1410	7
995	1411	5
996	1412	4
997	1413	2
998	1415	1
999	1416	0
